kaydasheva_s000001|якраз стільки, скільки треба було на дві душі. Вона задумала й вечеряти з Карпом окремо.|якраз стільки, скільки треба було на дві душі. Вона задумала й вечеряти з Карпом окремо.
kaydasheva_s001333|Другого дня Лаврін узяв косу і пішов з Мелашкою та з матір'ю до ячменю. Батько мовчав та тільки поглядав на Лавріна.|Другого дня Лаврін узяв косу і пішов з Мелашкою та з матір'ю до ячменю. Батько мовчав та тільки поглядав на Лавріна.
kaydasheva_s001334|Його темні очі погасли й ніби померкли, а волосся на голові настовбурчилось і стирчало, неначе в їжака. Мотря злякалась, що за її мотовило син побив батька.|Його темні очі погасли й ніби померкли, а волосся на голові настовбурчилось і стирчало, неначе в їжака. Мотря злякалась, що за її мотовило син побив батька.
kaydasheva_s001335|Та скажи-бо, дівчино, з якого ти села, чи з Бієвець, чи з Дешок?|Та скажи-бо, дівчино, з якого ти села, чи з Бієвець, чи з Дешок?
kaydasheva_s001336|В хаті зостались самі молодиці. Кайдашиха стояла коло печі над розбитою мискою мов кам'яна. Мотря стояла коло стола, як стовп, і дивилась на широкі патьоки на стіні коло помийниці.|В хаті зостались самі молодиці. Кайдашиха стояла коло печі над розбитою мискою мов кам'яна. Мотря стояла коло стола, як стовп, і дивилась на широкі патьоки на стіні коло помийниці.
kaydasheva_s001337|Чоловіки посходились у хату й сіли за стіл. Мотря кинулась насипать галушки в миску.|Чоловіки посходились у хату й сіли за стіл. Мотря кинулась насипать галушки в миску.
kaydasheva_s001338|Ви думаєте, що я не поважаю вашої віри? Та я ладен жити з вами, як з братами, — підлещувався жид. — От вам ще відро горілки! Суро! А винеси гостям оселедців та паляниць! — гукнув жид до жидівки.|Ви думаєте, що я не поважаю вашої віри? Та я ладен жити з вами, як з братами, - підлещувався жид. - От вам ще відро горілки! Суро! А винеси гостям оселедців та паляниць! - гукнув жид до жидівки.
kaydasheva_s001339|Там стояла Мотря з куркою в руках.|Там стояла Мотря з куркою в руках.
kaydasheva_s001340|За те, щоб не крали моїх груш, — обізвалась з-за тину Мотря.|За те, щоб не крали моїх груш, - обізвалась з-за тину Мотря.
kaydasheva_s001341|Вже сонце зайшло, вже стало надворі поночі, а Кайдаш усе пив у шинку, доки не пропив половини грошей, і вже п'яний потягся додому.|Вже сонце зайшло, вже стало надворі поночі, а Кайдаш усе пив у шинку, доки не пропив половини грошей, і вже п'яний потягся додому.
kaydasheva_s001342|ВІН пригорнув її до себе, вговорював ласкавими словами.|ВІН пригорнув її до себе, вговорював ласкавими словами.
kaydasheva_s001343|Та вже де-небудь притулюся, хоч у куточку, — сказав Карпо.|Та вже де-небудь притулюся, хоч у куточку, - сказав Карпо.
kaydasheva_s001344|Лаврін ударився об мисник. Три полумиски, захищені Лавріном од наглої смерті, посипались йому на голову.|Лаврін ударився об мисник. Три полумиски, захищені Лавріном од наглої смерті, посипались йому на голову.
kaydasheva_s001345|Бодай тобі добра не було з твоїм мотовилом. Через твоє мотовило син побив батька. Ой, світе мій! Не дадуть діти своєю смертю вмерти, — бідкалась Кайдашиха.|Бодай тобі добра не було з твоїм мотовилом. Через твоє мотовило син побив батька. Ой, світе мій! Не дадуть діти своєю смертю вмерти, - бідкалась Кайдашиха.
kaydasheva_s001346|Поки старі балакали та пили, Мелашка затопила в печі і поліпила вареники. Кайдашиха не зводила з неї очей та все скоса поглядала на чорні, неначе житні вареники на ситі.|Поки старі балакали та пили, Мелашка затопила в печі і поліпила вареники. Кайдашиха не зводила з неї очей та все скоса поглядала на чорні, неначе житні вареники на ситі.
kaydasheva_s001347|Коли в Химки очі, як у сови, а своїм кирпатим носом вона чує, як у небі млинці печуть. А як ходить, то неначе решетом горох точить, такі викрутаси виробляє.|Коли в Химки очі, як у сови, а своїм кирпатим носом вона чує, як у небі млинці печуть. А як ходить, то неначе решетом горох точить, такі викрутаси виробляє.
kaydasheva_s001348|Як громада ділила між братами двір старого Кайдаша, до Карпової половини одійшла груша. Тин пройшов на аршин поза грушею. Та груша була Лаврінова.|Як громада ділила між братами двір старого Кайдаша, до Карпової половини одійшла груша. Тин пройшов на аршин поза грушею. Та груша була Лаврінова.
kaydasheva_s001349|Він заквітчав своїми шинками село з чотирьох боків і пустив горілку по дешевшій ціні, ніж в громадському шинку.|Він заквітчав своїми шинками село з чотирьох боків і пустив горілку по дешевшій ціні, ніж в громадському шинку.
kaydasheva_s001350|Господи, як тут у Києві гарно! А як подумаю, що треба вертаться додому, то мені здається, що оце треба через день умирать.|Господи, як тут у Києві гарно! А як подумаю, що треба вертаться додому, то мені здається, що оце треба через день умирать.
kaydasheva_s001351|Настала субота. Роботи було ще більше. Кайдашиха тільки хату замела та й сіла коло вікна старі сорочки латать. Мотря підмазала стіни, обмазала комин, грубу, припічок.|Настала субота. Роботи було ще більше. Кайдашиха тільки хату замела та й сіла коло вікна старі сорочки латать. Мотря підмазала стіни, обмазала комин, грубу, припічок.
kaydasheva_s001352|Лаврін почав кричать через тин, щоб Карпо випустив кабана.|Лаврін почав кричать через тин, щоб Карпо випустив кабана.
kaydasheva_s001353|Карпо прикинув таке слівце, що богомольний Кайдаш плюнув і знов вибіг з повітки.  Хлопці стояли один проти одного, поспиравшись на заступи.|Карпо прикинув таке слівце, що богомольний Кайдаш плюнув і знов вибіг з повітки. Хлопці стояли один проти одного, поспиравшись на заступи.
kaydasheva_s001354|З кози стала кобила з здоровою, як ночви, головою, з страшними червоними очима, з огняним язиком. Кайдаш закричав не своїм голосом.|З кози стала кобила з здоровою, як ночви, головою, з страшними червоними очима, з огняним язиком. Кайдаш закричав не своїм голосом.
kaydasheva_s001355|котра чорніла й ворушилась коло шинку на білому снігу.|котра чорніла й ворушилась коло шинку на білому снігу.
kaydasheva_s001356|Священик одіслав Кайдашиху в волость. Вона пішла в волость. Слідком за нею йшли люди й діти.|Священик одіслав Кайдашиху в волость. Вона пішла в волость. Слідком за нею йшли люди й діти.
kaydasheva_s001357|розтопило на щире золото іконостас і повисло під банями огняними краплями на панікадилах. Після кожної євангелії дзвонили в дзвони. Серед церкви виходили ченці,|розтопило на щире золото іконостас і повисло під банями огняними краплями на панікадилах. Після кожної євангелії дзвонили в дзвони. Серед церкви виходили ченці,
kaydasheva_s001358|Ти залигай її віжками та й веди! Чого ти на неї дивишся, як на святу та божу! — гукала за ворітьми баба Параска. — Цілувалася в Києві з ченцями та з чортами,|Ти залигай її віжками та й веди! Чого ти на неї дивишся, як на святу та божу! - гукала за ворітьми баба Параска. - Цілувалася в Києві з ченцями та з чортами,
kaydasheva_s001359|І зелений гай, і Лаврін, і його очі— все разом щезло. Мелашка важко зітхнула і пішла в хату до роботи.|І зелений гай, і Лаврін, і його очі- все разом щезло. Мелашка важко зітхнула і пішла в хату до роботи.
kaydasheva_s001360|Мотря поралась в хаті й разу не глянула на свекруху. Вона вибрала сорочки з жлукта, пішла на ставок прать й прийшла додому аж увечері.|Мотря поралась в хаті й разу не глянула на свекруху. Вона вибрала сорочки з жлукта, пішла на ставок прать й прийшла додому аж увечері.
kaydasheva_s001361|Із'їсть свекруха, люта змія, мій вік молоденький.|Із'їсть свекруха, люта змія, мій вік молоденький.
kaydasheva_s001362|Де там, моє серденько! Я думала, що такі багатирі наженуть мені повний двір волів та корів, а вони пригнали одну дурну вівцю та ще й перше вовну обстригли.|Де там, моє серденько! Я думала, що такі багатирі наженуть мені повний двір волів та корів, а вони пригнали одну дурну вівцю та ще й перше вовну обстригли.
kaydasheva_s001363|Гарна.  мордою хоч пацюки бий; сама товста, як бодня, а шия, хоч обіддя гни.|Гарна. мордою хоч пацюки бий; сама товста, як бодня, а шия, хоч обіддя гни.
kaydasheva_s001364|Боюся опізнитися. Мені дорога додому через гай.|Боюся опізнитися. Мені дорога додому через гай.
kaydasheva_s001365|Коли глянуть на те чудо, та мерщій на себе ризи, та зараз вдарили в дзвони, та позабирали в руки свічки, та давай перед Миколаєм править та молитись. Тоді образ і пустив злодія.|Коли глянуть на те чудо, та мерщій на себе ризи, та зараз вдарили в дзвони, та позабирали в руки свічки, та давай перед Миколаєм править та молитись. Тоді образ і пустив злодія.
kaydasheva_s001366|Дівчина була невелика на зріст, але рівна, як струна, гнучка, як тополя, гарна, як червона калина, довгообраза, повновида, з тонким носиком.|Дівчина була невелика на зріст, але рівна, як струна, гнучка, як тополя, гарна, як червона калина, довгообраза, повновида, з тонким носиком.
kaydasheva_s001367|Та чую, чую! — обізвався Кайдаш з-за двора й пішов на гору до церкви.|Та чую, чую! - обізвався Кайдаш з-за двора й пішов на гору до церкви.
kaydasheva_s001368|Лаврінові слова запали Карпові в душу.|Лаврінові слова запали Карпові в душу.
kaydasheva_s001369|Позад їх стояла купа Карпових дітей у вузьких штанцях, у сороченятах з короткими рукавами, в спідничках вище колін.|Позад їх стояла купа Карпових дітей у вузьких штанцях, у сороченятах з короткими рукавами, в спідничках вище колін.
kaydasheva_s001370|Це якийсь жіночий сажень вигадала Мотря, що стягується й розтягується, як кому треба, — сказав насмішкувато Лаврін.|Це якийсь жіночий сажень вигадала Мотря, що стягується й розтягується, як кому треба, - сказав насмішкувато Лаврін.
kaydasheva_s001371|За бабою стояла Мелашка в білій сорочці, в червоній новій хустці, з зеленими та синіми квітками, в зеленій ситцевій рясній спідниці.|За бабою стояла Мелашка в білій сорочці, в червоній новій хустці, з зеленими та синіми квітками, в зеленій ситцевій рясній спідниці.
kaydasheva_s001372|Лаврін з матір'ю підвели батька й посадили на лаві. Кайдаш не говорив ні слова й тільки стогнав. Він не стільки забився об діл, як стривожився.|Лаврін з матір'ю підвели батька й посадили на лаві. Кайдаш не говорив ні слова й тільки стогнав. Він не стільки забився об діл, як стривожився.
kaydasheva_s001373|Мелашка витягла з діжі руки в тісті, скочила з стільчика й стала серед хати. В неї на лобі блищали здорові краплі поту.|Мелашка витягла з діжі руки в тісті, скочила з стільчика й стала серед хати. В неї на лобі блищали здорові краплі поту.
kaydasheva_s001374|то тоді господь і помилує нас, — навчала баба Палажка, піднявши вгору палець. — А хто купить мира од мироточивих голів або оливи з лампад над святою Варварою та буде мазать собі очі та лоб,|то тоді господь і помилує нас, - навчала баба Палажка, піднявши вгору палець. - А хто купить мира од мироточивих голів або оливи з лампад над святою Варварою та буде мазать собі очі та лоб,
kaydasheva_s001375|Щось ти справді вже дуже розібралась.|Щось ти справді вже дуже розібралась.
kaydasheva_s001376|А той злодій зараз постригся в ченці та й став святим.|А той злодій зараз постригся в ченці та й став святим.
kaydasheva_s001377|А це хто перебив спину нашому кабанцеві?|А це хто перебив спину нашому кабанцеві?
kaydasheva_s001378|Од того часу Мелашка знайшла собі ще одного ворога. Мотря не давала їй перейти сіни: вона була сердита на Мелашку за те прокляте сміття. Од того часу в хаті гризла Мелашку свекруха,|Од того часу Мелашка знайшла собі ще одного ворога. Мотря не давала їй перейти сіни: вона була сердита на Мелашку за те прокляте сміття. Од того часу в хаті гризла Мелашку свекруха,
kaydasheva_s001379|Кайдашиха прикусила язика, але її розбирала злість.|Кайдашиха прикусила язика, але її розбирала злість.
kaydasheva_s001380|Лаврін перейшов через греблю й насилу продерся через густі верби та лози, переплетені білими крученими паничами то ожиною.|Лаврін перейшов через греблю й насилу продерся через густі верби та лози, переплетені білими крученими паничами то ожиною.
kaydasheva_s001381|Карпо схопився й зачепив ногою глиняник.|Карпо схопився й зачепив ногою глиняник.
kaydasheva_s001382|а то тільки полаялись та побились молодиці.|а то тільки полаялись та побились молодиці.
kaydasheva_s001383|Бо твою жінку сьогодні перелоги напали, — сказала вже сердито Кайдашиха.|Бо твою жінку сьогодні перелоги напали, - сказала вже сердито Кайдашиха.
kaydasheva_s001384|Я б обсадила черешнями двір, щоб і твого голосу не було чуть.|Я б обсадила черешнями двір, щоб і твого голосу не було чуть.
kaydasheva_s001385|поцілувала образок й кинула на тарілку шага.|поцілувала образок й кинула на тарілку шага.
kaydasheva_s001386|Мотря не пропускала Мелашки через сіни і зачіпала її ущипливими словами. Лаврін оступався за нею та й годі сказав.|Мотря не пропускала Мелашки через сіни і зачіпала її ущипливими словами. Лаврін оступався за нею та й годі сказав.
kaydasheva_s001387|Кайдашиха викотилась з воза, неначе м'яч. Сіно вкрило її зверху. Воли потягли воза по долині.|Кайдашиха викотилась з воза, неначе м'яч. Сіно вкрило її зверху. Воли потягли воза по долині.
kaydasheva_s001388|Жнива кінчились, наставав вільніший час. Дівчата збирались на гулянку під корчмою. Корчма стояла коло греблі над ставком між високими вербами.|Жнива кінчились, наставав вільніший час. Дівчата збирались на гулянку під корчмою. Корчма стояла коло греблі над ставком між високими вербами.
kaydasheva_s001389|Вся Кайдашева садиба ніби дихала холодком.|Вся Кайдашева садиба ніби дихала холодком.
kaydasheva_s001390|Ячмінь ще не зовсім стиглий, ще два або три дні постоїть, — обізвався Лаврін. — Гей, перістий! Ший ставай! — крикнув він на вола.|Ячмінь ще не зовсім стиглий, ще два або три дні постоїть, - обізвався Лаврін. - Гей, перістий! Ший ставай! - крикнув він на вола.
kaydasheva_s001391|Кайдашиха схопилась з місця та давай закрадаться до півня з кужелем.|Кайдашиха схопилась з місця та давай закрадаться до півня з кужелем.
kaydasheva_s001392|Син не слухав батька.|Син не слухав батька.
kaydasheva_s001393|Маруся пишала губи, осміхалась, сипала облесливими словами, наче дрібним горохом. До природної звичайності української селянки в неї пристало щось вже дуже солодке, аж нудне.|Маруся пишала губи, осміхалась, сипала облесливими словами, наче дрібним горохом. До природної звичайності української селянки в неї пристало щось вже дуже солодке, аж нудне.
kaydasheva_s001394|Чи ти ба! На Палажчиній голові чортячі роги! — сказав Кайдаш.|Чи ти ба! На Палажчиній голові чортячі роги! - сказав Кайдаш.
kaydasheva_s001395|Добрі смішки! Як візьму оцього віхтя та обмажу тобі голову, то ти більше не будеш мені глиняників перевертать.|Добрі смішки! Як візьму оцього віхтя та обмажу тобі голову, то ти більше не будеш мені глиняників перевертать.
kaydasheva_s001396|Ого-го, добрий робітник! Роботи не знайшов, а на вулицю зараз дорогу знайшов! — крикнув другий парубок.|Ого-го, добрий робітник! Роботи не знайшов, а на вулицю зараз дорогу знайшов! - крикнув другий парубок.
kaydasheva_s001397|Тату! Візьміть лучче сокиру та за одним разом зарубайте мене, — промовив Карпо, ледве дишучи;|Тату! Візьміть лучче сокиру та за одним разом зарубайте мене, - промовив Карпо, ледве дишучи;
kaydasheva_s001398|впоперек Лаврінова половина вийшла більша на два пояси.|впоперек Лаврінова половина вийшла більша на два пояси.
kaydasheva_s001399|Я їм покажу, що мій кінь не те, що їх півень, — говорив сердитий Карпо.|Я їм покажу, що мій кінь не те, що їх півень, - говорив сердитий Карпо.
kaydasheva_s001400|Кайдашиха взяла чарку і наговорила приказок живим і мертвим повнісіньку хату.|Кайдашиха взяла чарку і наговорила приказок живим і мертвим повнісіньку хату.
kaydasheva_s001401|Бо твоя жінка таки гадюка, вибачайте в цім слові, батюшко. Твою жінку тільки посадить в клітку та показувати за гроші, як звірюку, на ярмарках.|Бо твоя жінка таки гадюка, вибачайте в цім слові, батюшко. Твою жінку тільки посадить в клітку та показувати за гроші, як звірюку, на ярмарках.
kaydasheva_s001402|Кайдаш встав і пішов з гори. Він зійшов вниз, пішов далі шляхом, а те диво на хмарі одсунулось од його ще далі за ліс. Вій вийшов на гору за село. З гори було видно широку долину,|Кайдаш встав і пішов з гори. Він зійшов вниз, пішов далі шляхом, а те диво на хмарі одсунулось од його ще далі за ліс. Вій вийшов на гору за село. З гори було видно широку долину,
kaydasheva_s001403|Весь народ покотом ліг кругом церкви на кам'яних плитах. Багата Лавра не спромоглася поставити гостиницю для народу, хоч забагатіла народними грішми.|Весь народ покотом ліг кругом церкви на кам'яних плитах. Багата Лавра не спромоглася поставити гостиницю для народу, хоч забагатіла народними грішми.
kaydasheva_s001404|Прийшли вони додому. Карпова жінка заспівала іншої.|Прийшли вони додому. Карпова жінка заспівала іншої.
kaydasheva_s001405|То сватай Хіврю. Хівря доладна, як писанка.|То сватай Хіврю. Хівря доладна, як писанка.
kaydasheva_s001406|Хазяїн почастував Кайдашиху. Кайдашиха багато приказувала, а мало випила.|Хазяїн почастував Кайдашиху. Кайдашиха багато приказувала, а мало випила.
kaydasheva_s001407|Мотря кинулась до кропиви. Діти підняли гвалт і кинулись на тин, як котенята. На їх крик вибігла з хати Мелашка.|Мотря кинулась до кропиви. Діти підняли гвалт і кинулись на тин, як котенята. На їх крик вибігла з хати Мелашка.
kaydasheva_s001408|А що? Півень ногу волочить, — спокійно обізвався Карпо.|А що? Півень ногу волочить, - спокійно обізвався Карпо.
kaydasheva_s001409|Чи ти здуріла сьогодні, чи наважилася мене з світу звести? Омельку! — крикнула Кайдашиха на свого чоловіка. — Чи ти чуєш, що витворяє твоя невістка?|Чи ти здуріла сьогодні, чи наважилася мене з світу звести? Омельку! - крикнула Кайдашиха на свого чоловіка. - Чи ти чуєш, що витворяє твоя невістка?
kaydasheva_s001410|Баба Палажка перелякалась. Їй здалось, що на неї справді впав дзвін, що то не був сон, а правда. Але вона якось покрутила головою і так крикнула на все горло,|Баба Палажка перелякалась. Їй здалось, що на неї справді впав дзвін, що то не був сон, а правда. Але вона якось покрутила головою і так крикнула на все горло,
kaydasheva_s001411|Цабе, сірий! Цабе, моругий! — крикнув Карпо і крутнув батогом над рогатими головами.|Цабе, сірий! Цабе, моругий! - крикнув Карпо і крутнув батогом над рогатими головами.
kaydasheva_s001412|Лаврін зостанеться в моїй хаті, а Карпо житиме через сіни в противній хаті.|Лаврін зостанеться в моїй хаті, а Карпо житиме через сіни в противній хаті.
kaydasheva_s001413|Мотря мовчки лузала насіння.|Мотря мовчки лузала насіння.
kaydasheva_s001414|Він і справді мусив вислати на роботу й свою Мотрю. Люди прокопали спуск навкоси, так як колись радив старий покійний Кайдаш, ще й горбик молодиці знесли в приполах під Карпів тин.|Він і справді мусив вислати на роботу й свою Мотрю. Люди прокопали спуск навкоси, так як колись радив старий покійний Кайдаш, ще й горбик молодиці знесли в приполах під Карпів тин.
kaydasheva_s001415|Але ж, чоловіче, груші не можна прийнять, — говорив у волості голова, — а рубати доброго дерева rpix. Давай щороку половину груш Лаврінові, та й ідіть coбi з богом.|Але ж, чоловіче, груші не можна прийнять, - говорив у волості голова, - а рубати доброго дерева rpix. Давай щороку половину груш Лаврінові, та й ідіть coбi з богом.
kaydasheva_s001416|То діліться щороку грушами пополовині, — сказав священик.|То діліться щороку грушами пополовині, - сказав священик.
kaydasheva_s001417|Заставила б стару суку|Заставила б стару суку
kaydasheva_s001418|Деркач свистів, як шуліка в повітрі, у Мелашчиних руках, а шибки аж дзенькали. Мотря кинулась до Мелашки та й почала видирати деркача з рук. Мелашка була слабкіша і випустила його з рук.|Деркач свистів, як шуліка в повітрі, у Мелашчиних руках, а шибки аж дзенькали. Мотря кинулась до Мелашки та й почала видирати деркача з рук. Мелашка була слабкіша і випустила його з рук.
kaydasheva_s001419|На дзвіниці вдарили в дзвін. Старий Кайдаш зняв шапку, тричі перехрестився і пішов до церкви, загадавши синам ладнати два вози з рублями для возовиці.|На дзвіниці вдарили в дзвін. Старий Кайдаш зняв шапку, тричі перехрестився і пішов до церкви, загадавши синам ладнати два вози з рублями для возовиці.
kaydasheva_s001420|Кайдаш поліз за стіл. Кайдашиха тільки трохи посунулась по лаві до стола й очі спустила додолу.|Кайдаш поліз за стіл. Кайдашиха тільки трохи посунулась по лаві до стола й очі спустила додолу.
kaydasheva_s001421|Чи ти здурів, чи ти збожеволів! — крикнула Мотря на ввесь двір. — Ой лишечко мені! Що ж оце буде, як мати надійдуть з ярмарку?|Чи ти здурів, чи ти збожеволів! - крикнула Мотря на ввесь двір. - Ой лишечко мені! Що ж оце буде, як мати надійдуть з ярмарку?
kaydasheva_s001422|Бліде батькове лице стало жовте, неначе віск. Він кинувся до Карпа. Карпо встав з лави й став, неначе стовп.|Бліде батькове лице стало жовте, неначе віск. Він кинувся до Карпа. Карпо встав з лави й став, неначе стовп.
kaydasheva_s001423|Ой, важу я на цю дівчину вражу, та не знаю, чи буде вона моєю: в'ється, як в'юн у руках, та коли б не вислизнула з рук, — подумав Карпо та й пішов у хату.|Ой, важу я на цю дівчину вражу, та не знаю, чи буде вона моєю: в'ється, як в'юн у руках, та коли б не вислизнула з рук, - подумав Карпо та й пішов у хату.
kaydasheva_s001424|Здається, в тому морі сліз текли ріки народного горя од самого початку світу, горя од холоду й голоду, од меча, од огню, од татар, од царів, од панів, од жидів,|Здається, в тому морі сліз текли ріки народного горя од самого початку світу, горя од холоду й голоду, од меча, од огню, од татар, од царів, од панів, од жидів,
kaydasheva_s001425|В тій церкві був старий священик. Він збудував для богомольців, зараз коло цвинтаря, на церковному дворі довгу комору з перегородками, але без вікон, і пускав туди прочан на ніч.|В тій церкві був старий священик. Він збудував для богомольців, зараз коло цвинтаря, на церковному дворі довгу комору з перегородками, але без вікон, і пускав туди прочан на ніч.
kaydasheva_s001426|Сонце стояло низько над самим лісом і пронизувало світом верхи лісу, зелені, як трава на степу.|Сонце стояло низько над самим лісом і пронизувало світом верхи лісу, зелені, як трава на степу.
kaydasheva_s001427|А через оту-о! Хіба не бачиш? — сказав Кайдаш, показуючи рукою на крутий шпиль, що трохи не висів над його садком.|А через оту-о! Хіба не бачиш? - сказав Кайдаш, показуючи рукою на крутий шпиль, що трохи не висів над його садком.
kaydasheva_s001428|Тиха, як телиця. Я люблю, щоб дівчина була трохи бриклива, щоб мала серце з перцем, — сказав Карпо.|Тиха, як телиця. Я люблю, щоб дівчина була трохи бриклива, щоб мала серце з перцем, - сказав Карпо.
kaydasheva_s001429|Це, Мелашко, мабуть, за тобою прийшли родичі? — спитала проскурниця. — Шкода мені тебе! В мене ще не було такої доброї та робочої наймички, як ти.|Це, Мелашко, мабуть, за тобою прийшли родичі? - спитала проскурниця. - Шкода мені тебе! В мене ще не було такої доброї та робочої наймички, як ти.
kaydasheva_s001430|Наберу я в черепок хуху, та виллю я на раба божого Омелька. Алилуй же його. господи, і шарпни його по боках, по ребрах, по кістках, по чреслах, коло його скотини.|Наберу я в черепок хуху, та виллю я на раба божого Омелька. Алилуй же його. господи, і шарпни його по боках, по ребрах, по кістках, по чреслах, коло його скотини.
kaydasheva_s001431|Поганяй бо швидше! Може, забіжу на часок до попаді та хоч пополудную гаразд, та досхочу нап'юся наливки. Я в тутешньої попаді, як у себе вдома.|Поганяй бо швидше! Може, забіжу на часок до попаді та хоч пополудную гаразд, та досхочу нап'юся наливки. Я в тутешньої попаді, як у себе вдома.
kaydasheva_s001432|Карпе! Чи ти глухий, чи ти хочеш мене з світу зогнати? Піди та вилай свою матір.|Карпе! Чи ти глухий, чи ти хочеш мене з світу зогнати? Піди та вилай свою матір.
kaydasheva_s001433|Чого мені нудитися з тобою? Як ляжу спати, твоя тінь ніби в головах стоїть у мене. Я б прикрила твій слід листом, щоб його вітер не завіяв, піском не замів, — сказала Мелашка.|Чого мені нудитися з тобою? Як ляжу спати, твоя тінь ніби в головах стоїть у мене. Я б прикрила твій слід листом, щоб його вітер не завіяв, піском не замів, - сказала Мелашка.
kaydasheva_s001434|Будь здоров, нечорнобровий! — обізвалась Мотря.|Будь здоров, нечорнобровий! - обізвалась Мотря.
kaydasheva_s001435|Кайдашиха й Лаврін насилу вмовили його лягти на постіль. Тільки що він виліз на піл і хотів лягти, йому здалось, що на постелі лазять здорові раки та чорні павуки.|Кайдашиха й Лаврін насилу вмовили його лягти на постіль. Тільки що він виліз на піл і хотів лягти, йому здалось, що на постелі лазять здорові раки та чорні павуки.
kaydasheva_s001436|На дні довгого яру блищать рядками ставочки в очеретах, в осоці, зеленіють левади.|На дні довгого яру блищать рядками ставочки в очеретах, в осоці, зеленіють левади.
kaydasheva_s001437|Так, сину, так! Держи руку за жінкою, а матері не можна буде далі в своїй хаті й слова промовити. Мотря молода, то нехай робить, а я вже стара, підтопталась.|Так, сину, так! Держи руку за жінкою, а матері не можна буде далі в своїй хаті й слова промовити. Мотря молода, то нехай робить, а я вже стара, підтопталась.
kaydasheva_s001438|Коли я твій голос коло двора почую, я зараз вилину до тебе, — сказала Мелашка.|Коли я твій голос коло двора почую, я зараз вилину до тебе, - сказала Мелашка.
kaydasheva_s001439|Недалеко от Богуслава, коло Росі, в довгому покрученому яру розкинулось село Семигори. Яр в'ється гадюкою між крутими горами, між зеленими терасами;|Недалеко от Богуслава, коло Росі, в довгому покрученому яру розкинулось село Семигори. Яр в'ється гадюкою між крутими горами, між зеленими терасами;
kaydasheva_s001440|Ба не дам!|Ба не дам!
kaydasheva_s001441|Карпо затрусив матір'ю так, що легенький хлів увесь затрусився. Баба заголосила, випручалась та навтьоки з двору. Карпо погнався за нею з дрючком.|Карпо затрусив матір'ю так, що легенький хлів увесь затрусився. Баба заголосила, випручалась та навтьоки з двору. Карпо погнався за нею з дрючком.
kaydasheva_s001442|Кайдашиха обернулась, глянула на вогнене море в челюстях, вихопила з печі ринку і накрила її ганчіркою. Ринка погасла, а по хаті пішов такий чад, такий смердючий дим, що Кайдашиха закашляла.|Кайдашиха обернулась, глянула на вогнене море в челюстях, вихопила з печі ринку і накрила її ганчіркою. Ринка погасла, а по хаті пішов такий чад, такий смердючий дим, що Кайдашиха закашляла.
